title,summary,published
"Deep Learning Applied to the Asteroseismic Modeling of Stars with
  Coherent Oscillation Modes","We develop a novel method based on machine learning principles to achieve
optimal initiation of CPU-intensive computations for forward asteroseismic
modeling in a multi-D parameter space. A deep neural network is trained on a
precomputed asteroseismology grid containing about 62 million coherent
oscillation-mode frequencies derived from stellar evolution models. These
models are representative of the core-hydrogen burning stage of
intermediate-mass and high-mass stars. The evolution models constitute a 6D
parameter space and their predicted low-degree pressure- and gravity-mode
oscillations are scanned, using a genetic algorithm. A software pipeline is
created to find the best fitting stellar parameters for a given set of observed
oscillation frequencies. The proposed method finds the optimal regions in the
6D parameters space in less than a minute, hence providing the optimal starting
point for further and more detailed forward asteroseismic modeling in a
high-dimensional context. We test and apply the method to seven pulsating stars
that were previously modeled asteroseismically by classical grid-based forward
modeling based on a $\chi^2$ statistic and obtain good agreement with past
results. Our deep learning methodology opens up the application of
asteroseismic modeling in +6D parameter space for thousands of stars pulsating
in coherent modes with long lifetimes observed by the $Kepler$ space telescope
and to be discovered with the TESS and PLATO space missions, while applications
so far were done star-by-star for only a handful of cases. Our method is open
source and can be used by anyone freely.",2018-11-08T19:01:03Z
"Evaluation of nearby young moving groups based on unsupervised machine
  learning","Nearby young stellar moving groups have been identified by many research
groups with different methods and criteria giving rise to cautions on the
reality of some groups. We aim to utilise moving groups in an unbiased way to
create a list of unambiguously recognisable moving groups and their members.
For the analysis, two unsupervised machine learning algorithms (K-means and
Agglomerative Clustering) are applied to previously known bona fide members of
nine moving groups from our previous study. As a result of this study, we
recovered six previously known groups (AB Doradus, Argus, $\beta$-Pic, Carina,
TWA, and Volans-Carina). Three the other known groups are recognised as well;
however, they are combined into two new separate groups (ThOr+Columba and
TucHor+Columba).",2019-08-16T10:23:09Z
"On the use of machine learning algorithms in the measurement of stellar
  magnetic fields","Regression methods based in Machine Learning Algorithms (MLA) have become an
important tool for data analysis in many different disciplines.
  In this work, we use MLA in an astrophysical context; our goal is to measure
the mean longitudinal magnetic field in stars (H_ eff) from polarized spectra
of high resolution, through the inversion of the so-called multi-line profiles.
  Using synthetic data, we tested the performance of our technique considering
different noise levels: In an ideal scenario of noise-free multi-line profiles,
the inversion results are excellent; however, the accuracy of the inversions
diminish considerably when noise is taken into account. In consequence, we
propose a data pre-process in order to reduce the noise impact, which consists
in a denoising profile process combined with an iterative inversion
methodology.
  Applying this data pre-process, we have found a considerable improvement of
the inversions results, allowing to estimate the errors associated to the
measurements of stellar magnetic fields at different noise levels.
  We have successfully applied our data analysis technique to two different
stars, attaining by first time the measurement of H_eff from multi-line
profiles beyond the condition of line autosimilarity assumed by other
techniques.",2018-07-27T17:08:09Z
"Accurately constraining velocity information from spectral imaging
  observations using machine learning techniques","Determining accurate plasma Doppler (line-of-sight) velocities from
spectroscopic measurements is a challenging endeavour, especially when weak
chromospheric absorption lines are often rapidly evolving and, hence, contain
multiple spectral components in their constituent line profiles. Here, we
present a novel method that employs machine learning techniques to identify the
underlying components present within observed spectral lines, before
subsequently constraining the constituent profiles through single or multiple
Voigt fits. Our method allows active and quiescent components present in
spectra to be identified and isolated for subsequent study. Lastly, we employ a
Ca II 8542 {\AA} spectral imaging dataset as a proof-of-concept study to
benchmark the suitability of our code for extracting two-component atmospheric
profiles that are commonly present in sunspot chromospheres. Minimisation tests
are employed to validate the reliability of the results, achieving median
reduced $\chi^2$ values equal to 1.03 between the observed and synthesised
umbral line profiles.",2020-07-15T18:00:01Z
"ROOSTER: a machine-learning analysis tool for Kepler stellar rotation
  periods","In order to understand stellar evolution, it is crucial to efficiently
determine stellar surface rotation periods. An efficient tool to automatically
determine reliable rotation periods is needed when dealing with large samples
of stellar photometric datasets. The objective of this work is to develop such
a tool. Random forest learning abilities are exploited to automate the
extraction of rotation periods in Kepler light curves. Rotation periods and
complementary parameters are obtained from three different methods: a wavelet
analysis, the autocorrelation function of the light curve, and the composite
spectrum. We train three different classifiers: one to detect if rotational
modulations are present in the light curve, one to flag close binary or
classical pulsators candidates that can bias our rotation period determination,
and finally one classifier to provide the final rotation period. We test our
machine learning pipeline on 23,431 stars of the Kepler K and M dwarf reference
rotation catalog of Santos et al. (2019) for which 60% of the stars have been
visually inspected. For the sample of 21,707 stars where all the input
parameters are provided to the algorithm, 94.2% of them are correctly
classified (as rotating or not). Among the stars that have a rotation period in
the reference catalog, the machine learning provides a period that agrees
within 10% of the reference value for 95.3% of the stars. Moreover, the yield
of correct rotation periods is raised to 99.5% after visually inspecting 25.2%
of the stars. Over the two main analysis steps, rotation classification and
period selection, the pipeline yields a global agreement with the reference
values of 92.1% and 96.9% before and after visual inspection. Random forest
classifiers are efficient tools to determine reliable rotation periods in large
samples of stars. [abridged]",2021-01-25T15:04:43Z
"Spectral feature extraction for DB white dwarfs through machine learning
  applied to new discoveries in the SDSS DR12 and DR14","Using a machine learning (ML) method, we mine DB white dwarfs (DBWDs) from
the Sloan Digital Sky Survey (SDSS) Data Release (DR) 12 and DR14. The ML
method consists of two parts: feature extraction and classification. The least
absolute shrinkage and selection operator (LASSO) is used for the spectral
feature extraction by comparing high quality data of a positive sample group
with negative sample groups. In both the training and testing sets, the
positive sample group is composed of a selection of 300 known DBWDs, while the
negative sample groups are obtained from all types of SDSS spectra. In the
space of the LASSO detected features, a support vector machine is then employed
to build classifiers that are used to separate the DBWDs from the non DBWDs for
each individual type. Depending on the classifiers, the DBWD candidates are
selected from the entire SDSS dataset. After visual inspection, 2808 spectra
(2029 objects) are spectroscopically confirmed. By checking the samples with
the literature, there are 58 objects with 60 spectra that are newly identified,
including a newly discovered AM CVn. Finally, we measure their effective
temperatures (Teff), surface gravities (log g), and radial velocities, before
compiling them into a catalog.",2018-06-22T02:54:22Z
"Machine learning reveals systematic accumulation of electric current in
  lead-up to solar flares","Solar flares - bursts of high-energy radiation responsible for severe
space-weather effects - are a consequence of the occasional destabilization of
magnetic fields rooted in active regions (ARs). The complexity of AR evolution
is a barrier to a comprehensive understanding of flaring processes and accurate
prediction. Though machine learning (ML) has been used to improve flare
predictions, the potential for revealing precursors and associated physics has
been underexploited. Here, we train ML algorithms to classify between
vector-magnetic-field observations from flaring ARs, producing at least one
M-/X-class flare, and non-flaring ARs. Analysis of magnetic-field observations
accurately classified by the machine presents statistical evidence for (1) ARs
persisting in flare-productive states --- characterized by AR area --- for
days, before and after M- and X-class flare events, (2) systematic pre-flare
build-up of free energy in the form of electric currents, suggesting that
associated subsurface magnetic field is twisted, (3) intensification of Maxwell
stresses in the corona above newly emerging ARs, days before first flares.
These results provide new insights into flare physics and improving flare
forecasting.",2019-05-24T11:54:21Z
Analysing AIA Flare Observations using Convolutional Neural Networks,"In order to efficiently analyse the vast amount of data generated by solar
space missions and ground-base instruments, modern machine learning techniques
such as decision trees, support vector machines (SVMs) and neural networks can
be very useful. In this paper we present initial results from using a
convolutional neural network (CNN) to analyse observations from the Atmospheric
Imaging Assembly (AIA) in the 1600A wavelength. The data is pre-processed to
locate flaring regions where flare ribbons are visible in the observations. The
CNN is created and trained to automatically analyse the shape and position of
the flare ribbons, by identifying whether each image belongs into one of four
classes: two-ribbon flare, compact/circular ribbon flare, limb flare or quiet
Sun, with the final class acting as a control for any data included in the
training or test sets where flaring regions are not present. The network
created can classify flare ribbon observations into any of the four classes
with a final accuracy of 94%. Initial results show that most of the images are
correctly classified with the compact flare class being the only class where
accuracy drops below 90% ad some observations are wrongly classified as
belonging to the limb class.",2020-05-27T11:34:41Z
"Forecasting Solar Flares Using Magnetogram-based Predictors and Machine
  Learning","We propose a forecasting approach for solar flares based on data from Solar
Cycle 24, taken by the Helioseismic and Magnetic Imager (HMI) on board the
Solar Dynamics Observatory (SDO) mission. In particular, we use the
Space-weather HMI Active Region Patches (SHARP) product that facilitates
cut-out magnetograms of solar active regions (AR) in the Sun in near-real-time
(NRT), taken over a five-year interval (2012 - 2016). Our approach utilizes a
set of thirteen predictors, which are not included in the SHARP metadata,
extracted from line-of-sight and vector photospheric magnetograms. We exploit
several Machine Learning (ML) and Conventional Statistics techniques to predict
flares of peak magnitude >M1 and >C1, within a 24 h forecast window. The ML
methods used are multi-layer perceptrons (MLP), support vector machines (SVM)
and random forests (RF). We conclude that random forests could be the
prediction technique of choice for our sample, with the second best method
being multi-layer perceptrons, subject to an entropy objective function. A
Monte Carlo simulation showed that the best performing method gives accuracy
ACC=0.93(0.00), true skill statistic TSS=0.74(0.02) and Heidke skill score
HSS=0.49(0.01) for >M1 flare prediction with probability threshold 15% and
ACC=0.84(0.00), TSS=0.60(0.01) and HSS=0.59(0.01) for >C1 flare prediction with
probability threshold 35%.",2018-01-17T16:45:18Z
"A New Tool for CME Arrival Time Prediction Using Machine Learning
  Algorithms: CAT-PUMA","Coronal Mass Ejections (CMEs) are arguably the most violent eruptions in the
Solar System. CMEs can cause severe disturbances in the interplanetary space
and even affect human activities in many respects, causing damages to
infrastructure and losses of revenue. Fast and accurate prediction of CME
arrival time is then vital to minimize the disruption CMEs may cause when
interacting with geospace. In this paper, we propose a new approach for
partial-/full-halo CME Arrival Time Prediction Using Machine learning
Algorithms (CAT-PUMA). Via detailed analysis of the CME features and solar wind
parameters, we build a prediction engine taking advantage of 182 previously
observed geo-effective partial-/full-halo CMEs and using algorithms of the
Support Vector Machine (SVM). We demonstrate that CAT-PUMA is accurate and
fast. In particular, predictions after applying CAT-PUMA to a test set, that is
unknown to the engine, show a mean absolute prediction error $\sim$5.9 hours of
the CME arrival time, with 54% of the predictions having absolute errors less
than 5.9 hours. Comparison with other models reveals that CAT-PUMA has a more
accurate prediction for 77% of the events investigated; and can be carried out
very fast, i.e. within minutes after providing the necessary input parameters
of a CME. A practical guide containing the CAT-PUMA engine and the source code
of two examples are available in the Appendix, allowing the community to
perform their own applications for prediction using CAT-PUMA.",2018-02-08T10:57:46Z
"A Comparative Analysis of Machine-learning Models for Solar Flare
  Forecasting: Identifying High-performing Active Region Flare Indicators","Solar flares create adverse space weather impacting space and Earth-based
technologies. However, the difficulty of forecasting flares, and by extension
severe space weather, is accentuated by the lack of any unique flare trigger or
a single physical pathway. Studies indicate that multiple physical properties
contribute to active region flare potential, compounding the challenge. Recent
developments in machine learning (ML) have enabled analysis of
higher-dimensional data leading to increasingly better flare forecasting
techniques. However, consensus on high-performing flare predictors remains
elusive. In the most comprehensive study to date, we conduct a comparative
analysis of four popular ML techniques (k-nearest neighbor, logistic
regression, random forest classifier, and support vector machine) by training
these on magnetic parameters obtained from the Helioseismic and Magnetic Imager
(HMI) on board the Solar Dynamics Observatory (SDO) for the entirety of solar
cycle 24. We demonstrate that the logistic regression and support vector
machine algorithms perform extremely well in forecasting active region flaring
potential. The logistic regression algorithm returns the highest true skill
score of $0.967 \pm 0.018$, possibly the highest classification performance
achieved with any strictly parametric study. From a comparative assessment, we
establish that the magnetic properties like total current helicity, total
vertical current density, total unsigned flux, R_VALUE, and total absolute
twist are the top-performing flare indicators. We also introduce and analyze
two new performance metrics, namely, severe and clear space weather indicators.
Our analysis constrains the most successful ML algorithms and identifies
physical parameters that contribute most to active region flare productivity.",2022-04-12T16:09:35Z
"Distinguishing between Flaring and Non-Flaring Active Regions: A Machine
  Learning Perspective","Large scale solar eruptions significantly impact space weather and damages
space-based human infrastructures. It is necessary to predict large scale solar
eruptions, which will enable us to protect our vulnerable infrastructures of
modern society. We aim to investigate the difference between flaring and
non-flaring active regions. We use photospheric vector magnetogram data from
Solar Dynamic Observatory's Helioseismic Magnetic Imager to study the time
evolution of photospheric magnetic parameters on the solar surface. We build a
database of flaring and non-flaring active region observed on the solar surface
from the years 2010 to 2017. We train the machine learning algorithm by the
time evolution of these active region parameters. Finally, we estimate the
performance obtained from this machine learning algorithm. We find the strength
of some magnetic parameters namely total unsigned magnetic flux, total unsigned
magnetic helicity, total unsigned vertical current and total photospheric
magnetic energy density in flaring active regions are much higher compared to
the non-flaring ones. These magnetic parameters in the flaring active region
are highly evolving and complex. We are able to obtain good forecasting
capability with a relatively high value of true skill statistic (TSS). We also
find that time evolution of total unsigned magnetic helicity and total unsigned
magnetic flux have very high ability to distinguish flaring and non-flaring
active regions. It is possible to distinguish flaring active region from the
non-flaring one with good accuracy. We confirm that there is no single common
parameter which can distinguish all flaring active regions from the non flaring
one. However, time evolution of top few magnetic parameters namely total
unsigned magnetic flux and total unsigned magnetic helicity have very high
distinguishing capability.",2020-03-09T01:02:48Z
"Solar activity classification based on Mg II spectra: towards
  classification on compressed data","Although large volumes of solar data are available for study, the vast
majority of these data remain unlabeled and are therefore not amenable to
supervised machine learning methods. Having a way to accurately and
automatically classify spectra into categories related to solar activity is
highly desirable and will assist and speed up future research efforts in solar
physics. At the same time, the large volume of raw observational data is a
serious bottleneck for machine learning, requiring powerful computational means
that are not at the disposal of many laboratories. Besides, the raw data
communication imposes restrictions on real time data observations and requires
considerable bandwidth and energy for the onboard solar observation systems. To
solve these issues, we propose a framework to classify solar activity on
compressed data. For this, we used a labeling scheme from a pre-existing vector
quantization technique in conjunction with different machine learning
algorithms to categorize spectra of singly-ionized magnesium Mg II measured by
NASA's Interface Region Imaging Spectrograph satellite (IRIS) into five types
of solar activity. Our training dataset is a human annotated list of 85 IRIS
observations containing 29097 frames. The annotated types of Solar activities
are active region, pre-flare activity, Solar flare, Sunspot, and quiet Sun. We
compress these data and reduce its complexity before training classifiers. We
found that the XGBoost classifier produces the most accurate results on the
compressed data, yielding over a 95\% prediction rate, and outperforming other
ML methods like convolution neural networks, K-nearest neighbors, naive Bayes
classifiers, and SVM. We find that the classification performance on compressed
and uncompressed data is comparable, implying the possibility of large
compression rates for relatively low degrees of information loss.",2020-09-15T15:07:53Z
Flare forecasting and feature ranking using SDO/HMI data,"We describe here the application of a machine learning method for flare
forecasting using vectors of properties extracted from images provided by the
Helioseismic and Magnetic Imager in the Solar Dynamics Observatory (SDO/HMI).
We also discuss how the method can be used to quantitatively assess the impact
of such properties on the prediction process.",2018-12-18T09:34:40Z
